mprs_setpoints_1,mprs_setpoints_2,mprs_setpoints_3,mprs_setpoints_4,mprs_setpoints_5,mprs_hvac_mode_1,mprs_hvac_mode_2,mprs_hvac_mode_3,mprs_hvac_mode_4,mprs_hvac_mode_5,prbs_win_multiple_multistep_1,prbs_win_multiple_multistep_2,prbs_win_multiple_multistep_3,prbs_win_multiple_multistep_4,noise_for_setpoints_1,noise_for_setpoints_2,noise_for_setpoints_3,noise_for_setpoints_4,noise_for_setpoints_5
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,20.0,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,19.5,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,19.5,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,19.5,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,19.5,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,19.5,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,19.5,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,19.5,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,19.5,19.0,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
18.0,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,,,,,
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,19.0,19.5,21.5,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,19.0,19.5,20.0,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,19.0,19.5,20.0,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,19.0,19.5,20.0,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,18.5,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,19.5,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,19.5,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.5,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,20.0,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,21.5,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,21.5,21.5,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,22.0,21.5,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,22.0,21.5,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,22.0,21.5,22.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,22.0,21.5,20.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,22.0,21.5,20.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,22.0,21.5,20.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21.0,22.0,21.5,20.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,21.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,20.0,3,3,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,20.0,3,3,3,3,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,20.0,3,3,3,3,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,20.0,3,3,3,3,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,20.0,3,3,3,3,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,20.0,3,3,3,3,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,20.0,3,3,3,3,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,20.0,3,3,3,3,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0
19.5,22.0,21.5,20.0,20.0,3,3,3,3,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0
